MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-01-23 00:00:00	PAIEMENTPARCARTE	COIFF&COTADEN21/01	16	0	NULL	NULL	NULL	NULL
2017-01-23 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN21/01	10	0	NULL	NULL	NULL	NULL
2017-01-23 00:00:00	PAIEMENTPARCARTE	VIVECODINAN22/01	10	0	NULL	NULL	NULL	NULL
2017-01-23 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN20/01	11	0	NULL	NULL	NULL	NULL
2017-01-23 00:00:00	RETRAITAUDISTRIBUTEUR	DINANINTERMARCH20/0112H13	60	0	NULL	NULL	NULL	NULL
2017-01-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN19/01	8	0	NULL	NULL	NULL	NULL
2017-01-20 00:00:00	PAIEMENTPARCARTE	LE40BOULEVARDQUEVERT19/01	7	0	NULL	NULL	NULL	NULL
2017-01-19 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN18/01	3	0	NULL	NULL	NULL	NULL
2017-01-19 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN18/01	11	0	NULL	NULL	NULL	NULL
2017-01-19 00:00:00	PAIEMENTPARCARTE	LABOULED'ORLANVALLAY18/01	8	0	NULL	NULL	NULL	NULL
2017-01-19 00:00:00	PAIEMENTPARCARTE	PHARMACIETADEN18/01	2	0	NULL	NULL	NULL	NULL
2017-01-18 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN17/01	7	0	NULL	NULL	NULL	NULL
2017-01-18 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN17/01	14	0	NULL	NULL	NULL	NULL
2017-01-18 00:00:00	PRELEVEMENT	SUPPLETIS018506	172	0	NULL	NULL	NULL	NULL
2017-01-17 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN16/01	8	0	NULL	NULL	NULL	NULL
2017-01-17 00:00:00	PAIEMENTPARCARTE	SARLJMVIPINAULTTADEN16/01	22	0	NULL	NULL	NULL	NULL
2017-01-16 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN13/01	23	0	NULL	NULL	NULL	NULL
2017-01-16 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN15/01	25	0	NULL	NULL	NULL	NULL
2017-01-16 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN14/01	11	0	NULL	NULL	NULL	NULL
2017-01-16 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN13/01	6	0	NULL	NULL	NULL	NULL
2017-01-16 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN13/01	61	0	NULL	NULL	NULL	NULL
2017-01-13 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN12/01	7	0	NULL	NULL	NULL	NULL
2017-01-12 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN11/01	7	0	NULL	NULL	NULL	NULL
2017-01-12 00:00:00	PRELEVMNT	DEMENAGEMENTSGUIOMARD	149	0	NULL	NULL	NULL	NULL
2017-01-11 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN10/01	9	0	NULL	NULL	NULL	NULL
2017-01-11 00:00:00	RETRAITAUDISTRIBUTEUR	DINANINTERMARCH10/0112H09	60	0	NULL	NULL	NULL	NULL
2017-01-10 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN09/01	8	0	NULL	NULL	NULL	NULL
2017-01-10 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN09/01	7	0	NULL	NULL	NULL	NULL
2017-01-09 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVALL07/01	8	0	NULL	NULL	NULL	NULL
2017-01-09 00:00:00	PAIEMENTPARCARTE	VIVECODINAN08/01	8	0	NULL	NULL	NULL	NULL
2017-01-09 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN06/01	13	0	NULL	NULL	NULL	NULL
2017-01-09 00:00:00	PRELEVEMENT	PRETPERSONNEL018506	509	0	NULL	NULL	NULL	NULL
